# k gas iso ps loopA loopB ics fb_flat nfw_NFW_g1_rho2.5_rs21_R08_rvir402_ns2048_normpole_pheno
0.000000000000000000e+00 1.000472664833068848e+00 5.517126464843750000e+01 9.992044568061828613e-01 1.655803935136646032e-04 2.897137892432510853e-04 1.002431750297546387e+00 9.048618958331644535e-04 5.614243564195930958e-04
1.000000000000000000e+00 4.532079696655273438e-01 2.445849627256393433e-01 1.123056054115295410e+00 5.794277354612994738e-18 1.058644952299861441e-13 7.687223553657531738e-01 1.535006566300012310e-10 2.411061584758900089e-12
2.000000000000000000e+00 9.202684570312500000e+03 8.604440000000000000e+05 1.379183906250000000e+05 5.890004217690147925e-08 3.659972591663063213e-08 1.040945625000000000e+05 7.899064803496003151e-05 6.952873121690572589e-08
3.000000000000000000e+00 5.796017050743103027e-01 1.458603515625000000e+02 4.734428882598876953e+00 7.588883164828536931e-16 1.707121848599341650e-16 3.073697805404663086e+00 5.002556095062837827e-12 4.246627209630220515e-15
4.000000000000000000e+00 2.816632390022277832e-02 6.286772949218750000e+03 1.895769042968750000e+03 4.304895606654923768e-10 2.629281514732184633e-10 6.667907714843750000e+01 4.097200090313890541e-08 3.555787331244175675e-10
5.000000000000000000e+00 2.258674651384353638e-01 2.071058273315429688e+00 5.354426860809326172e+00 6.897767079738770235e-11 2.329096984721168440e-11 2.153901338577270508e+00 1.578152506453989190e-07 6.681453567497497303e-12
6.000000000000000000e+00 1.793944946289062500e+03 6.250274902343750000e+03 2.714502685546875000e+03 8.227354683491318321e-15 2.152429796897781245e-11 1.582753601074218750e+02 3.396900982721717810e-09 7.740828377594821674e-13
7.000000000000000000e+00 2.383161783218383789e+00 2.283502388000488281e+01 2.363973617553710938e+00 5.109357745348674422e-18 1.655938162225826442e-17 1.634410396218299866e-02 8.758071308109793840e-14 -3.132007554613222122e-16
8.000000000000000000e+00 2.614304065704345703e+00 3.268077135086059570e+00 3.677181720733642578e+00 8.446150723262491056e-11 4.796606167811745536e-11 1.579027157276868820e-03 1.267748572786331351e-08 2.871975920970548657e-11
9.000000000000000000e+00 1.881374740600585938e+01 6.144266128540039062e+01 4.096611589193344116e-02 4.394388930905181005e-16 5.297810449644976220e-16 1.363800144195556641e+01 1.196821132053594444e-14 1.487043524782242793e-15
1.000000000000000000e+01 1.798588156700134277e+00 9.567472457885742188e+00 3.462633848190307617e+00 1.123457504803582196e-08 1.047158054712227226e-10 2.790882885456085205e-01 5.851880996488034725e-05 2.551363650127314031e-06
1.100000000000000000e+01 1.609065890312194824e+00 3.154936730861663818e-01 5.217568588256835938e+01 4.483371573299477220e-12 2.033760049258148683e-09 6.215872126631438732e-04 8.765699135437898804e-07 6.765816351617104374e-09
1.200000000000000000e+01 3.859400177001953125e+01 2.521586799621582031e+01 1.443721866607666016e+01 1.899118223791518290e-10 3.585684249518550359e-10 3.416436910629272461e-01 9.330572538601700217e-06 1.435526697513012095e-09
