# k gas iso ps ics fb_flat nfw_NFW_g1_rho2.5_rs21_R08_rvir402_ns2048_normpole_pheno loopI
0.000000000000000000e+00 2.761113047599792480e-01 9.803804755210876465e-02 1.314956903457641602e+00 5.117767453193664551e-01 4.780540963089663364e-10 6.920951273059472442e-05 4.271669208488759750e-04
1.000000000000000000e+00 4.533993005752563477e-01 1.536625325679779053e-01 1.120763301849365234e+00 7.683403491973876953e-01 1.529951859646772050e-10 2.410780507489107549e-05 6.924951892806063825e-05
2.000000000000000000e+00 8.008839488029479980e-01 1.980509161949157715e-01 1.013773083686828613e+00 1.312176585197448730e+00 5.552671170083733898e-11 6.401828613888937980e-06 3.265584319489533982e-05
3.000000000000000000e+00 1.228989601135253906e+00 2.969303429126739502e-01 9.036399722099304199e-01 1.702784419059753418e+00 2.057540769706545092e-11 1.251793605661077891e-06 1.806623243005844870e-05
4.000000000000000000e+00 1.540617823600769043e+00 6.230279207229614258e-01 8.910179138183593750e-01 1.917383193969726562e+00 7.068867626663921655e-12 2.364342606142599834e-07 4.996523283118392555e-06
5.000000000000000000e+00 1.696142554283142090e+00 9.427329301834106445e-01 7.969024777412414551e-01 2.039393424987792969e+00 2.158413855632423939e-12 6.445446842917590402e-08 1.016677283693923073e-06
6.000000000000000000e+00 1.912561893463134766e+00 1.431360363960266113e+00 6.981846094131469727e-01 2.170525312423706055e+00 6.440841241427130992e-13 2.107989161004297785e-08 1.338361036440360863e-07
7.000000000000000000e+00 2.466999530792236328e+00 2.316581964492797852e+00 5.076224803924560547e-01 1.292014002799987793e+00 1.879830926337922037e-13 6.490212367538106264e-09 1.314406317121097345e-08
8.000000000000000000e+00 1.864200949668884277e+00 1.755462735891342163e-01 4.553126692771911621e-01 7.648947238922119141e+00 1.955916711145894160e-13 7.446152028300900838e-11 1.028466281027817786e-07
9.000000000000000000e+00 1.786058349609375000e+02 2.699831054687500000e+03 1.131632518768310547e+01 3.927482223510742188e+01 1.513962024322912381e-13 9.521782544652523939e-07 4.443382408680918161e-06
1.000000000000000000e+01 4.267805576324462891e+00 1.702911734580993652e+00 1.286079436540603638e-01 2.762620523571968079e-02 1.530537396074330234e-15 2.093942103043033853e-10 3.504933634990159419e-10
1.100000000000000000e+01 6.420882225036621094e+00 1.934637145996093750e+02 1.351846009492874146e-01 5.386725234985351562e+01 1.734447512642591643e-14 1.089485390792788166e-09 3.318599191004523163e-07
1.200000000000000000e+01 6.987765431404113770e-01 2.317472457885742188e+01 3.437658309936523438e+00 4.598233032226562500e+01 7.385509813038950572e-15 -7.283808972635696932e-12 3.968094297590596398e-08
