# k gas iso ps loopA loopB ics fb_pos fb_neg
0.000000000000000000e+00 2.313052862882614136e-01 5.520938491821289062e+01 4.195404052734375000e-01 5.645583200930559542e-07 1.893792487680912018e-02 9.000217318534851074e-01 1.749005354940891266e-02 6.879527587443590164e-03
1.000000000000000000e+00 3.706871569156646729e-01 5.528257369995117188e+01 5.124435424804687500e-01 7.507904911108198576e-07 1.687276177108287811e-02 1.275413990020751953e+00 1.899986341595649719e-02 8.122782222926616669e-03
2.000000000000000000e+00 6.827298402786254883e-01 4.612471389770507812e+01 6.432659626007080078e-01 5.246557179816591088e-07 1.610364951193332672e-02 1.624424934387207031e+00 2.207873947918415070e-02 9.135206229984760284e-03
3.000000000000000000e+00 1.127103567123413086e+00 3.584908676147460938e+01 7.025215029716491699e-01 1.166516994999255985e-06 1.607174240052700043e-02 1.640651345252990723e+00 2.685076743364334106e-02 1.216608285903930664e-02
4.000000000000000000e+00 1.602463483810424805e+00 2.968558692932128906e+01 7.689710259437561035e-01 9.066887969311210327e-07 1.299038529396057129e-02 1.331636905670166016e+00 3.267830982804298401e-02 1.429631933569908142e-02
5.000000000000000000e+00 1.861940860748291016e+00 2.830653953552246094e+01 7.162324190139770508e-01 8.729100954951718450e-06 8.827661164104938507e-03 1.133576989173889160e+00 3.906599059700965881e-02 1.599504984915256500e-02
6.000000000000000000e+00 2.119217395782470703e+00 2.725428199768066406e+01 6.238780617713928223e-01 6.366152319969842210e-06 2.741396659985184669e-03 1.084302544593811035e+00 4.190186038613319397e-02 2.055084705352783203e-02
7.000000000000000000e+00 2.522867679595947266e+00 2.147126007080078125e+01 4.519988298416137695e-01 4.727547093352768570e-06 1.109118340536952019e-03 1.571698188781738281e-01 4.830351844429969788e-02 2.186087518930435181e-02
8.000000000000000000e+00 2.408914089202880859e+00 2.073098564147949219e+01 3.253466784954071045e-01 2.138781201210804284e-05 2.077272511087357998e-04 1.608722358942031860e-01 4.592877998948097229e-02 2.282689325511455536e-02
9.000000000000000000e+00 1.832792758941650391e+00 2.481283187866210938e+01 2.039332836866378784e-01 5.463375418912619352e-05 1.544037368148565292e-04 2.244722694158554077e-01 4.392838105559349060e-02 2.740737050771713257e-02
1.000000000000000000e+01 1.685791611671447754e+00 2.787061691284179688e+01 8.937365561723709106e-02 5.782597872894257307e-05 7.489837298635393381e-05 2.136456817388534546e-01 2.264670468866825104e-02 3.270153701305389404e-02
1.100000000000000000e+01 1.546980738639831543e+00 2.064997673034667969e+01 3.310643136501312256e-02 1.280467113247141242e-04 6.582125206477940083e-05 2.781670391559600830e-01 6.605791393667459488e-03 1.093966793268918991e-02
1.200000000000000000e+01 6.582605242729187012e-01 1.648940086364746094e+01 2.652872912585735321e-02 1.198030731757171452e-04 3.298711671959608793e-04 5.303339958190917969e-01 9.735385901876725256e-06 3.661880269646644592e-02
