# k gas iso ps loopA loopB ics fb_pos fb_neg nfw_NFW_g1_rho2_rs21_R08_rvir402_ns2048_normpole_pheno
0.000000000000000000e+00 1.985723376274108887e-01 1.001796685159206390e-02 3.828247487545013428e-01 2.351836414504759887e-08 1.766248489730060101e-03 8.065033555030822754e-01 5.052092019468545914e-04 2.735077287070453167e-04 5.120039947570376171e-10
1.000000000000000000e+00 3.160394132137298584e-01 1.013534888625144958e-02 4.965755939483642578e-01 2.616434002788992075e-08 4.485883109737187624e-04 1.130501151084899902e+00 1.602677220944315195e-04 8.975421224022284150e-05 1.546336947377824345e-10
2.000000000000000000e+00 5.738710165023803711e-01 1.014552917331457138e-02 6.465966105461120605e-01 1.520140680000281463e-09 1.201543927891179919e-04 1.464839816093444824e+00 5.498661630554124713e-05 2.779417263809591532e-05 4.560554017762896706e-11
3.000000000000000000e+00 9.017910361289978027e-01 1.669733226299285889e-02 7.098175883293151855e-01 4.048819501889511230e-09 3.176018071826547384e-05 1.579721808433532715e+00 1.805342253646813333e-05 1.018647344608325511e-05 1.331007613153412095e-11
4.000000000000000000e+00 1.210488080978393555e+00 2.923125773668289185e-02 7.700505852699279785e-01 3.381467106322588734e-09 6.573404789378400892e-06 1.377423167228698730e+00 5.675641205016290769e-06 3.153797933919122443e-06 4.099946944446930530e-12
5.000000000000000000e+00 1.302738547325134277e+00 4.885108396410942078e-02 7.174727916717529297e-01 7.992508876952797436e-10 1.119440298680274282e-06 1.258511066436767578e+00 1.677699856372782961e-06 8.614680382379447110e-07 1.263707346231546236e-12
6.000000000000000000e+00 1.112387895584106445e+00 1.289322733879089355e+00 1.249814510345458984e+00 8.115629665553569794e-03 1.162484213709831238e-01 8.714404702186584473e-01 8.288392424583435059e-02 9.364952892065048218e-02 2.776788221581227845e-08
7.000000000000000000e+00 1.697905898094177246e+00 1.220822408795356750e-01 4.733031094074249268e-01 5.721507156941640915e-10 2.180386715622262273e-08 7.062820196151733398e-01 1.622051684080361156e-07 9.114314281077895430e-08 9.193067449864492091e-14
8.000000000000000000e+00 2.027274131774902344e+00 1.022827401757240295e-01 3.538586497306823730e-01 7.874483703984580529e-11 4.622252802732873533e-09 5.776589512825012207e-01 4.501699280012871895e-08 2.402163801207279903e-08 1.941539614356332238e-14
9.000000000000000000e+00 1.176528811454772949e+00 9.473721981048583984e-01 1.539463281631469727e+00 1.593158990144729614e-01 1.096992939710617065e-02 1.127429723739624023e+00 4.724917933344841003e-02 6.409326195716857910e-02 5.224419230565047201e-10
1.000000000000000000e+01 1.235640640258789062e+02 3.236160156250000000e+03 1.345940971374511719e+01 4.893132427241653204e-06 3.105933137703686953e-05 1.102583251953125000e+03 5.604818852589232847e-06 5.663721822202205658e-06 3.762117787436958238e-12
1.100000000000000000e+01 1.406814550781250000e+04 1.789087829589843750e+02 1.025229873657226562e+02 1.274906708204071037e-06 1.305377008975483477e-05 4.271154785156250000e+03 9.654163477534893900e-07 8.479274583805818111e-06 4.748782815003523006e-14
1.200000000000000000e+01 1.347033619880676270e+00 6.727285385131835938e-01 7.731516361236572266e-01 2.302013188600540161e-01 1.166375875473022461e-01 6.705864071846008301e-01 4.659273102879524231e-02 2.009983360767364502e-01 3.341733556538883931e-09
