# k gas iso ps nfw ics fb_flat loopI
0.000000000000000000e+00 2.765029966831207275e-01 2.766445636749267578e+00 1.313142895698547363e+00 3.371808677911758423e-02 5.035740137100219727e-01 1.730723865330219269e-02 4.133899272247276713e-03
1.000000000000000000e+00 4.539294540882110596e-01 2.773277282714843750e+00 1.120544910430908203e+00 4.109233245253562927e-02 7.552049756050109863e-01 1.942843943834304810e-02 2.340913633148034023e-03
2.000000000000000000e+00 8.024314641952514648e-01 2.742379903793334961e+00 1.009749770164489746e+00 3.914997354149818420e-02 1.287536501884460449e+00 2.529847435653209686e-02 3.696306643291791261e-03
3.000000000000000000e+00 1.232490420341491699e+00 3.715380668640136719e+00 9.084500670433044434e-01 2.911338955163955688e-02 1.664934754371643066e+00 3.591084852814674377e-02 7.948242269321781350e-03
4.000000000000000000e+00 1.550483703613281250e+00 5.241726875305175781e+00 8.854609727859497070e-01 2.115763723850250244e-02 1.846902012825012207e+00 4.775160923600196838e-02 8.237839861976681277e-03
5.000000000000000000e+00 1.738761544227600098e+00 8.014482498168945312e+00 7.846670150756835938e-01 2.231758087873458862e-02 1.847413063049316406e+00 5.667351931333541870e-02 4.602480206813197583e-03
6.000000000000000000e+00 1.982780218124389648e+00 8.118803024291992188e+00 6.726347208023071289e-01 2.661246992647647858e-02 1.877958536148071289e+00 6.370632350444793701e-02 1.329437640379182994e-03
7.000000000000000000e+00 2.587306976318359375e+00 8.580855369567871094e+00 4.876315593719482422e-01 3.261031582951545715e-02 7.914074659347534180e-01 6.915438920259475708e-02 5.494817014550790191e-04
8.000000000000000000e+00 3.376396894454956055e+00 7.566740512847900391e+00 3.504334390163421631e-01 3.366867080330848694e-02 1.616897061467170715e-02 6.214649602770805359e-02 8.079372946667717770e-05
9.000000000000000000e+00 3.751716136932373047e+00 8.025393486022949219e+00 2.110523432493209839e-01 3.703081607818603516e-02 2.687492594122886658e-02 5.063302814960479736e-02 1.917070130730280653e-04
1.000000000000000000e+01 4.094306945800781250e+00 1.014136219024658203e+01 1.032371968030929565e-01 6.074434518814086914e-02 7.785204332321882248e-03 2.932762354612350464e-02 5.991325451759621501e-04
1.100000000000000000e+01 4.782362937927246094e+00 8.740714073181152344e+00 1.937506720423698425e-02 6.804412603378295898e-02 6.540927290916442871e-02 8.445642888545989990e-04 4.503000236582010984e-04
1.200000000000000000e+01 5.496016502380371094e+00 8.393653869628906250e+00 2.155159832909703255e-03 4.400881007313728333e-02 4.623220860958099365e-02 1.178503874689340591e-02 7.593937916681170464e-04
