# E_GeV gas iso ps nfw ics fb_flat loopI total
1.304321375275280914e+00 6.407689589250109910e-03 5.010950786688855427e-06 8.430902366294137701e-04 3.161459279009889989e-04 6.117445048764077195e-04 1.514009835594051930e-04 3.811411089815981077e-05 8.373196303901179680e-03
2.218982274181229730e+00 5.325657079370931836e-03 5.016649289607876511e-06 5.554942427038797982e-04 3.205337725302112584e-04 5.552009725230131268e-04 1.403608335403516141e-04 1.795276433760359568e-05 6.920216314295603299e-03
3.775053073500424183e+00 4.111215285890540937e-03 5.945926634646582552e-06 4.080826431585630153e-04 2.477330205350333986e-04 6.515933063880562093e-04 1.477822384777191013e-04 2.299364384104626120e-05 5.595346064925604129e-03
6.422325374407718890e+00 2.914559937802975627e-03 1.036494341196588236e-05 3.144339798575204021e-04 1.386837926265777760e-04 6.394965741924744148e-04 1.578070565903424538e-04 3.722960598917486119e-05 4.212575890471029032e-03
1.092600878978529444e+01 2.039985680814635806e-03 1.766221509123828547e-05 2.728998528246643534e-04 7.530244434698954686e-05 5.531705682258167322e-04 1.565711195560707885e-04 2.882750792053034560e-05 3.144419388779946031e-03
1.858791903965422065e+01 1.435783641655577350e-03 2.832001394699783307e-05 2.221429062848369600e-04 5.898101262519626800e-05 4.258182400951105763e-04 1.370667808511640614e-04 1.195718732821918104e-05 2.320069782787102190e-03
3.162277655582570901e+01 1.085311850997259901e-03 2.979240103901316760e-05 1.803841204876159912e-04 5.515537588130632157e-05 3.289703680978595286e-04 1.195657090441508647e-04 2.709600404108589253e-06 1.801889425951313812e-03
5.379838458025832182e+01 9.462033907568877375e-04 3.997484354133354546e-05 1.276340369439651174e-04 5.231232785134256729e-05 1.032558668698858103e-04 9.841797691843531034e-05 8.721623855010468999e-07 1.368670605267351429e-03
9.152473176089060303e+01 8.162836825326208121e-04 3.653747168001126488e-05 9.211467615549601997e-05 4.204622364897018318e-05 1.551755064301652316e-06 6.790444008337103658e-05 1.007653383634895362e-07 1.056539014503134373e-03
1.557068395621998320e+02 5.979038029385367291e-04 3.241642593338169351e-05 5.722515914452067684e-05 3.514934815872857062e-05 1.863419163091982882e-06 4.037476335024209675e-05 1.789486335719128495e-07 7.651118673220734957e-04
2.648969237716195266e+02 4.329111206168562002e-04 3.640792202575733784e-05 2.959677381023004036e-05 4.284122600773776474e-05 3.935176501360398354e-07 1.702091677363949603e-05 4.196153364531713257e-07 5.595910922208098895e-04
4.506570248350201950e+02 3.390635382746694823e-04 4.235825597751836013e-05 6.007010270278558247e-06 3.835765640658792388e-05 2.402772682069700968e-06 3.744992099642405633e-07 2.501962221687304028e-07 4.288139290432569327e-04
7.666822027411357112e+02 2.640687129033769090e-04 5.094734686222339058e-05 7.375051384476161853e-07 2.017876015006871672e-05 1.257684531641703844e-06 4.098606142980081143e-06 3.441891058972980491e-07 3.416328048346358652e-04
