# k  Ectr(GeV)  ics  iso  gas  ps  loopI  bubbles_flat_binary
00 1.30432 559105 179347 968146 90583.3 272331 44537.6
01 2.21898 278708 97949.5 511454 50250.6 146926 31277.8
02 3.77505 139620 54111.3 239800 27043.1 75117.9 10267
03 6.42233 60865.1 26651 104297 13559.5 34047.4 9599.62
04 10.926 28661.9 15148.4 43309.5 7903.46 15403.3 4760.04
05 18.5879 10276.8 6014.37 17798.8 4265.18 9496.5 3718.9
06 31.6228 5810.97 2751.05 7861.7 2817.02 3991.79 1256.24
07 53.7984 2311.73 1185.13 3366.81 1417.69 1545 900.895
08 91.5247 1004.85 311.176 1343.94 623.583 911.243 285.822
09 155.707 385.419 192.199 431.796 267.423 359.172 101.259
10 264.897 115.122 69.4974 225.466 99.7313 118.366 33.7228
11 450.657 51.683 31.4538 54.0913 21.4802 63.8777 8.20092
12 766.682 30.4215 11.0942 18.6997 2.82555 22.0986 6.03051
