# E_GeV gas iso ps nfw ics fb_flat loopI total
1.304321375275280914e+00 6.492069913091225511e-03 1.000003277459511787e-04 8.200763636340560126e-04 3.240603603934291135e-04 4.720396108058022024e-04 1.443874382189932093e-04 2.365102545497203089e-05 8.376285039344434635e-03
2.218982274181229730e+00 5.419940857796900179e-03 1.000036939590299816e-04 5.326913980304462349e-04 3.293387872183339057e-04 4.047321854044115368e-04 1.322597331125964222e-04 2.404628778991201999e-06 6.921371284300710525e-03
3.775053073500424183e+00 4.217043327144609326e-03 1.000206284265172123e-04 3.884753069959262896e-04 2.558061643463472646e-04 4.921533630577192529e-04 1.404540450410884066e-04 7.092130357396892684e-06 5.601044965369605770e-03
6.422325374407718890e+00 3.025531858762292754e-03 1.000088181796892912e-04 2.939976917577032545e-04 1.422567644810462581e-04 4.774244836178265596e-04 1.514458724896525449e-04 2.399908314667025544e-05 4.214664572434882392e-03
1.092600878978529444e+01 2.153809804968540628e-03 1.000029668539536112e-04 2.596834094896252327e-04 7.929688298283710994e-05 3.912294311691069193e-04 1.507940178241633624e-04 1.546169951048321858e-05 3.150278212798711223e-03
1.858791903965422065e+01 1.539078675223613715e-03 1.000569203510173944e-04 2.164240020816706920e-04 6.053612841394875665e-05 2.761308804150196705e-04 1.303220550987011449e-04 9.101499014657527578e-07 2.323458811485436173e-03
3.162277655582570901e+01 1.043992815258808693e-03 4.013009331951904541e-06 1.871982659806181650e-04 5.625766414393190072e-05 3.842473937881632604e-04 1.203943960370763155e-04 6.637517180054234290e-06 1.802741061720604821e-03
5.379838458025832182e+01 9.073265708946988851e-04 1.122023108782495965e-05 1.310763851591943501e-04 5.297178326175436340e-05 1.583218198128599904e-04 1.008405337961080540e-04 4.609973163118740538e-06 1.366367297175558743e-03
9.152473176089060303e+01 7.701902484980240483e-04 6.314953698674258620e-06 1.007722811899968546e-04 4.252931582947222012e-05 6.250463571423282491e-05 6.926073194739860344e-05 1.163027814204669012e-06 1.052735194692003143e-03
1.557068395621998320e+02 5.820301978567977682e-04 5.212821161253145416e-06 6.473501122366121083e-05 3.304894103122954925e-05 3.496444454035749997e-05 4.693938374553875584e-05 7.548652264260479665e-07 7.676856647852635602e-04
2.648969237716195266e+02 4.319907340482074067e-04 5.102769932455521895e-06 3.479130882845544320e-05 4.238275793223908060e-05 2.056948651502989482e-05 2.330253489631006026e-05 2.787511925217976146e-07 5.584183433452192050e-04
4.506570248350201950e+02 3.466710951703137972e-04 7.780592741113677243e-06 1.658246125390216039e-05 3.673489819588057114e-05 2.372719015574116440e-05 4.091769884017163390e-06 4.884188430819259933e-07 4.360764262440502319e-04
7.666822027411357112e+02 2.596476972083302972e-04 1.677659518831002797e-05 8.376229516638432742e-06 2.684891646547991916e-05 1.929376686951981377e-05 1.010633957586197821e-05 5.474031290764250958e-07 3.415969479532168459e-04
