# E_GeV gas iso ps ics fb_neg fb_pos loopI total
1.304321375275280914e+00 5.298064538191278768e-03 1.812265922866268515e-08 3.060729384242523747e-04 1.228850536450005809e-03 6.420764476913958603e-05 1.518509643010262141e-04 1.853030922694093958e-04 7.234367837064342548e-03
2.218982274181229730e+00 4.298097426296672297e-03 1.819026404057725317e-08 2.833790000884167941e-04 1.076731892617558035e-03 6.214787370354038336e-05 1.367113615946275037e-04 1.403052180502071958e-04 5.997390962615059724e-03
3.775053073500424183e+00 3.446740796232332024e-03 2.283814200062886045e-08 2.860910143130978352e-04 9.694680491792110732e-04 5.665004473795271016e-05 1.280302896241627118e-04 1.113663416734811515e-04 4.998369373902239801e-03
6.422325374407718890e+00 2.577506404208576140e-03 5.981685658842224032e-08 2.644848347555509211e-04 8.027406986618071481e-04 5.847936277725514952e-05 1.168019986844333368e-04 8.533403832697723226e-05 3.905407154271190069e-03
1.092600878978529444e+01 2.013630271641022804e-03 1.280121247096033817e-07 2.544240751682802937e-04 5.741874934166887835e-04 5.145447092661398100e-05 1.070254304757667130e-04 5.659752703702301255e-05 3.057447280790105606e-03
1.858791903965422065e+01 1.457279364226932378e-03 3.050554597755865635e-07 2.175110310947854769e-04 4.335862263499916662e-04 4.275085806688633212e-05 9.314006436552403872e-05 3.302894662908839921e-05 2.277601546192983828e-03
3.162277655582570901e+01 1.102454055509454996e-03 3.250203206433770347e-07 1.770290053667256613e-04 3.531762700732461778e-04 4.157951904049771169e-05 7.849861770231511245e-05 1.749605007664987145e-05 1.770558538089533418e-03
5.379838458025832182e+01 8.884305823910025601e-04 9.778745970139686920e-07 1.305566116089573422e-04 1.452276962801198480e-04 3.400646746657530218e-05 6.871804466024840157e-05 1.388115673226064171e-05 1.281798433736178709e-03
9.152473176089060303e+01 6.504738178432209255e-04 7.994712895744725302e-07 9.825822928023629683e-05 8.935674598937390085e-05 2.434308226314525392e-05 5.199229850934332852e-05 4.653266470535174590e-06 9.198769116454295295e-04
1.557068395621998320e+02 3.677422476982054834e-04 6.434015593514917747e-07 6.824777598563571887e-05 8.702912786154403497e-05 1.992028506753398972e-05 3.732795059409832700e-05 1.028791926972430049e-07 5.810136679590661123e-04
2.648969237716195266e+02 3.164256503193233015e-04 7.505322085062114536e-07 3.897000762171500085e-05 2.334100635714005340e-05 1.504983336236363039e-05 1.758941204058599449e-05 1.772351271810481533e-07 4.123036770368152686e-04
4.506570248350201950e+02 2.393035880098941487e-04 1.013311659318219633e-06 1.597766177265885459e-05 1.884663542931080835e-05 3.268686129145018939e-06 7.818350336501837184e-06 9.491111699040141891e-08 2.863231444538191892e-04
7.666822027411357112e+02 4.806766022092641758e-05 6.057819377453763313e-06 3.420771251682947129e-04 2.724291232869430901e-05 1.220476694840363407e+01 1.445227011663894601e+01 1.796036688003248827e+01 4.461782739059216851e+01
