# k gas iso ps ics fb_neg fb_pos loopI
0.000000000000000000e+00 2.313052862882614136e-01 5.520938491821289062e+01 4.195404052734375000e-01 9.000217318534851074e-01 6.879527587443590164e-03 1.749005354940891266e-02 1.893848943512921323e-02
1.000000000000000000e+00 3.706871569156646729e-01 5.528257369995117188e+01 5.124435424804687500e-01 1.275413990020751953e+00 8.122782222926616669e-03 1.899986341595649719e-02 1.687351256157398893e-02
2.000000000000000000e+00 6.827298402786254883e-01 4.612471389770507812e+01 6.432659626007080078e-01 1.624424934387207031e+00 9.135206229984760284e-03 2.207873947918415070e-02 1.610417416765130838e-02
3.000000000000000000e+00 1.127103567123413086e+00 3.584908676147460938e+01 7.025215029716491699e-01 1.640651345252990723e+00 1.216608285903930664e-02 2.685076743364334106e-02 1.607290891752199968e-02
4.000000000000000000e+00 1.602463483810424805e+00 2.968558692932128906e+01 7.689710259437561035e-01 1.331636905670166016e+00 1.429631933569908142e-02 3.267830982804298401e-02 1.299129198275750241e-02
5.000000000000000000e+00 1.861940860748291016e+00 2.830653953552246094e+01 7.162324190139770508e-01 1.133576989173889160e+00 1.599504984915256500e-02 3.906599059700965881e-02 8.836390265059890226e-03
6.000000000000000000e+00 2.119217395782470703e+00 2.725428199768066406e+01 6.238780617713928223e-01 1.084302544593811035e+00 2.055084705352783203e-02 4.190186038613319397e-02 2.747762812305154512e-03
7.000000000000000000e+00 2.522867679595947266e+00 2.147126007080078125e+01 4.519988298416137695e-01 1.571698188781738281e-01 2.186087518930435181e-02 4.830351844429969788e-02 1.113845887630304787e-03
8.000000000000000000e+00 2.408914089202880859e+00 2.073098564147949219e+01 3.253466784954071045e-01 1.608722358942031860e-01 2.282689325511455536e-02 4.592877998948097229e-02 2.291150631208438426e-04
9.000000000000000000e+00 1.832792758941650391e+00 2.481283187866210938e+01 2.039332836866378784e-01 2.244722694158554077e-01 2.740737050771713257e-02 4.392838105559349060e-02 2.090374910039827228e-04
1.000000000000000000e+01 1.685791611671447754e+00 2.787061691284179688e+01 8.937365561723709106e-02 2.136456817388534546e-01 3.270153701305389404e-02 2.264670468866825104e-02 1.327243517152965069e-04
1.100000000000000000e+01 1.546980738639831543e+00 2.064997673034667969e+01 3.310643136501312256e-02 2.781670391559600830e-01 1.093966793268918991e-02 6.605791393667459488e-03 1.938679633894935250e-04
1.200000000000000000e+01 6.582605242729187012e-01 1.648940086364746094e+01 2.652872912585735321e-02 5.303339958190917969e-01 3.661880269646644592e-02 9.735385901876725256e-06 4.496742403716780245e-04
