# E_GeV gas iso ps ics fb_neg fb_pos loopI total
1.304321375275280914e+00 5.360276353844976513e-03 1.000025112055367055e-04 2.693617128160454184e-04 1.093351391733579604e-03 6.192034023596650635e-05 1.490582273182940794e-04 1.746107601079802574e-04 7.208581297262383475e-03
2.218982274181229730e+00 4.349029708647550278e-03 1.000020033366679466e-04 2.540366163898017944e-04 9.376409193566222992e-04 6.025591318598437517e-05 1.339721789947225785e-04 1.294050904351816942e-04 5.964342430346534531e-03
3.775053073500424183e+00 3.497930328918553208e-03 1.000058979795112135e-04 2.599710166106515021e-04 8.220849757869970464e-04 5.486727921560372392e-05 1.257302058560641597e-04 1.001789904205358970e-04 4.960768694787914650e-03
6.422325374407718890e+00 2.665343963957574492e-03 1.000096056884904082e-04 2.431577035750634203e-04 6.301693877064466764e-04 5.506745023368902174e-05 1.148426254176399680e-04 7.528452481321848357e-05 3.883875261392120797e-03
1.092600878978529444e+01 2.108375956086121737e-03 1.000268106156901397e-04 2.369975484591024556e-04 3.988421360011947360e-04 4.833649230040810052e-05 1.041834972716790362e-04 4.545823949274164859e-05 3.042220680226939006e-03
1.858791903965422065e+01 1.537499054121342938e-03 1.000241244048372515e-04 2.027687516848630973e-04 2.612830710126110055e-04 3.989942485815280106e-05 9.184938487820785741e-05 2.295325459137148856e-05 2.256277065551386476e-03
3.162277655582570901e+01 1.159993292982294897e-03 1.000111096273415760e-04 1.673087813990901723e-04 1.899421102002151558e-04 3.970242029326996825e-05 7.658656205614878978e-05 5.597836060462263094e-06 1.739142112618824801e-03
5.379838458025832182e+01 9.226373115808106547e-04 1.000261891150798456e-04 1.183074274785182316e-04 2.050613191383102751e-05 3.196444116754378165e-05 6.705926235719388148e-05 1.756212497938992065e-06 1.262256976110915849e-03
9.152473176089060303e+01 5.823833290655440302e-04 1.001035782168234071e-04 8.552038872772391393e-05 1.543909706458628366e-05 2.561728239033744459e-05 4.896853262457503568e-05 2.816564311418647501e-07 8.583138645207322170e-04
1.557068395621998320e+02 2.920886657127113825e-04 1.002247837682911888e-04 5.529488293833516619e-05 1.556417045862656910e-05 2.243825095921950482e-05 3.419120216839854334e-05 1.958226907356045253e-07 5.199977786963179459e-04
2.648969237716195266e+02 1.782470013597003326e-04 1.000567012928887429e-04 2.562227522451979300e-05 1.079911882216603747e-05 1.947434297726380458e-05 1.283613608125647113e-05 9.263609116247923210e-08 3.471282118489577972e-04
4.506570248350201950e+02 1.096789954451514004e-04 1.000715722938044799e-04 1.026425720879133452e-05 1.021830901047224748e-05 4.976742352889146191e-06 2.861048305622191445e-06 1.085719230134197809e-07 2.381794965397442012e-04
7.666822027411357112e+02 3.162763600228750432e-05 1.000864746627483191e-04 9.078247352257737298e-06 1.442701707759603687e-05 1.308242552422760891e-05 3.303258855548302038e-09 2.034787877344220743e-07 1.685085826657072071e-04
