# k gas iso ps ics nfw fb_pos fb_neg loopI
0.000000000000000000e+00 2.095051407814025879e-01 1.017655618488788605e-02 4.729483723640441895e-01 9.830923080444335938e-01 3.932260073113980070e-10 6.724187405779957771e-04 3.247940330766141415e-04 1.981233185510689054e-03
1.000000000000000000e+00 3.317760229110717773e-01 1.002538204193115234e-02 5.761801004409790039e-01 1.411310911178588867e+00 1.258819853910964071e-10 2.078884717775508761e-04 1.069389109034091234e-04 5.130036772467150286e-04
2.000000000000000000e+00 6.039149761199951172e-01 1.338328141719102859e-02 7.093797326087951660e-01 1.849125385284423828e+00 3.717749025300420840e-11 6.868565833428874612e-05 3.341347473906353116e-05 1.403397811073070489e-04
3.000000000000000000e+00 9.571735262870788574e-01 2.174126729369163513e-02 7.651656270027160645e-01 2.031728744506835938e+00 1.062313605137976680e-11 2.213410516560543329e-05 1.200878523377468809e-05 3.795801324901759699e-05
4.000000000000000000e+00 1.306021332740783691e+00 4.697332531213760376e-02 8.237740993499755859e-01 1.854644298553466797e+00 3.381417108122564130e-12 6.918862709426321089e-06 3.605099209380568936e-06 8.594196919009533531e-06
5.000000000000000000e+00 1.400554895401000977e+00 9.368699789047241211e-02 7.617602944374084473e-01 1.852276444435119629e+00 1.105619719041217586e-12 2.022720536842825823e-06 1.060760496329749003e-06 1.650312978718204704e-06
6.000000000000000000e+00 1.520138859748840332e+00 8.788736164569854736e-02 6.592623591423034668e-01 2.037194490432739258e+00 3.398031910104709619e-13 5.741867994402127806e-07 3.560121228929347126e-07 2.531275096195884089e-07
7.000000000000000000e+00 1.926212668418884277e+00 2.099740207195281982e-01 4.912323653697967529e-01 1.102347373962402344e+00 8.252253725195626832e-14 1.871273695996933384e-07 9.885082619121021708e-08 7.994788941978470120e-08
8.000000000000000000e+00 2.240829706192016602e+00 1.745358705520629883e-01 3.695783317089080811e-01 8.078125119209289551e-01 1.883403508021533335e-14 4.939473896570234501e-08 2.391679920776823565e-08 1.204466626436584420e-08
9.000000000000000000e+00 2.797752197265625000e+03 8.623384237289428711e-01 3.335997314453125000e+02 6.474685546875000000e+03 4.550143681975038490e-12 2.286428207298740745e-05 1.322402113146381453e-05 9.467696486353815999e-06
1.000000000000000000e+01 1.106356024742126465e+00 1.349889755249023438e+00 1.020936608314514160e+00 9.183207154273986816e-01 9.371147413617109123e-09 1.185743063688278198e-01 5.266498401761054993e-02 1.052271109074354172e-01
1.100000000000000000e+01 8.513522338867187500e+02 5.800353393554687500e+02 1.041375637054443359e+00 2.347542877197265625e+02 3.796726930245519771e-15 8.452646227397053735e-08 3.690947210088779684e-07 5.256450414492519485e-06
1.200000000000000000e+01 1.781949218750000000e+04 2.157440917968750000e+03 5.229251098632812500e+02 9.809469726562500000e+03 2.330960294574802028e-12 3.878464485751464963e-05 1.141182565334020182e-05 6.953597085157525726e-05
