# k  Ectr(GeV)  gas  iso  ps  loopI  ics  nfw_NFW_g1_rho2.5_rs21_R08_rvir402_ns2048_normpole_pheno  fb_pos  fb_neg
00 1.30432 921571 177783 90316.4 177775 362330 381546 3215.1 21.7893
01 2.21898 481444 100402 50998.8 93155.9 164175 224697 1972.64 0
02 3.77505 223730 46929.6 27167.7 49354.6 86034.1 111465 1373.87 35.5993
03 6.42233 92601 28545.9 14246.8 20558.6 35231.4 58081.7 366.208 14.5236
04 10.926 38254.2 15886.5 8022.03 11245.6 18380.8 23131.7 340.418 7.61418
05 18.5879 15503.3 8279.02 4499.92 6661.15 5632.08 11074.2 193.721 4.51052
06 31.6228 6960.04 3161.28 2871.22 3126.78 3702.47 4623 109.237 2.4289
07 53.7984 3014.82 1582.23 1472.58 1157.35 1152.1 2353.27 20.8828 2.60158
08 91.5247 1213.87 416.756 642.76 631.6 632.197 937.189 25.338 2.06665
09 155.707 384.204 192.049 270.891 264.924 180.232 429.971 20.5702 1.92772
10 264.897 154.317 69.5401 103.926 81.1472 85.7185 165.071 2.02102 0
11 450.657 38.7775 23.0643 24.8296 48.0425 30.698 67.4189 4.37331 0
12 766.682 17.393 8.77943 3.49772 14.419 23.9244 22.2981 0.293597 0
