# k  Ectr(GeV)  gas  iso  ps  loopI  ics  nfw_NFW_g1_rho1_rs21_R08_rvir402_ns2048_normpole_pheno  fb_pos  fb_neg
00 1.30432 1.25199e+06 237.633 52693.6 82809.8 358841 219316 98116.2 39428
01 2.21898 644331 209.516 43676.3 40208.2 198479 99826.8 58209.2 25464.6
02 3.77505 296738 179.963 31368.8 17956.4 97295.1 52342.9 32568.7 13558.3
03 6.42233 125325 171.288 19036.9 7626.4 39028.7 31644.1 17062 7831.1
04 10.926 56581 138.946 11779.1 2364.78 11788.4 18625.1 9038.03 3859.53
05 18.5879 23566.3 148.529 6330.07 477.87 3560.18 10612.8 4514.34 1877.06
06 31.6228 10457.4 109.307 3486.95 88.6517 2390.93 3959.63 2343.47 1182.83
07 53.7984 180532 406610 360680 204198 26669.2 -1232.84 39485.9 140609
08 91.5247 15942.6 25986.7 7620.07 28342.6 147.862 26295.8 7632.91 20790.6
09 155.707 53814.8 68041.2 73047.7 99611.5 4717.22 -10997.3 29800.1 46466
10 264.897 3.47682e+06 568977 4.33026e+06 4.66989e+06 2.63783e+06 265681 226435 4.26389e+06
11 450.657 1.6548e+06 50102.1 11248.4 2.26221e+06 2451.85 367050 305216 511438
12 766.682 560784 50827.7 122001 333681 1544.05 25498.9 232213 1.52787e+06
