# E_GeV gas iso ps ics nfw fb_pos fb_neg loopI total
1.304321375275280914e+00 4.601721919080716504e-03 1.814586132080856504e-08 2.457887934910034117e-04 9.797447494530545781e-04 9.549815669320793361e-04 8.817882940458608969e-05 4.989063849595522286e-05 1.621781412097220208e-04 7.082502783928436990e-03
2.218982274181229730e+00 3.707883511817366626e-03 1.833408116348436332e-08 2.461703060161141783e-04 8.311059365278863345e-04 8.347649682185899304e-04 8.096132072450287710e-05 4.738520254853420701e-05 1.192235892152065263e-04 5.867513169149365070e-03
3.775053073500424183e+00 2.940197886607359874e-03 2.199716095160720454e-08 2.613170724921692824e-04 7.413225315944109483e-04 7.125513118145357415e-04 8.039461743551432689e-05 4.246978964017189014e-05 9.241799620409947081e-05 4.870693202949213582e-03
6.422325374407718890e+00 2.132530998044732031e-03 4.658120377744692139e-08 2.456830346192427064e-04 6.067665306510169540e-04 6.018906055446752740e-04 7.639554081274193653e-05 4.504936797629284392e-05 7.071773603985552329e-05 3.779080394892334310e-03
1.092600878978529444e+01 1.592650310505049766e-03 9.849592964583025425e-08 2.373302695956432877e-04 4.125557018251492622e-04 5.366038003884660880e-04 6.951233511843854106e-05 4.036799612300489757e-05 4.239136351852037425e-05 2.931510273003917668e-03
1.858791903965422065e+01 1.075737326842293685e-03 1.726204255241207205e-07 2.031199069925040013e-04 2.900796677088449734e-04 4.786967410759696050e-04 5.947023653652299183e-05 3.191397859435764504e-05 2.090175048540450926e-05 2.160092228661422004e-03
3.162277655582570901e+01 6.088863278681316219e-04 4.731241765751848787e-06 3.351695716100071189e-04 1.526541117628808840e-04 3.044354156996413607e+01 8.503430326700158304e+00 1.004120495586579764e+01 7.064653934826337078e+00 5.605393222860945457e+01
5.379838458025832182e+01 6.209407436642515451e-04 5.687333334672673714e-07 1.238836687059512414e-04 9.214944934066476216e-05 2.917100107254797870e-04 4.816449515298975843e-05 2.828412227157175228e-05 3.567226749014382898e-06 1.209268449943391027e-03
9.152473176089060303e+01 4.901173782341942736e-04 4.938920154826231618e-07 9.301502452579258695e-05 5.543860672728442108e-05 1.783099597249891265e-04 3.868808768624030771e-05 2.157544606472116337e-05 2.153995593745499154e-06 8.797923905724503672e-04
1.557068395621998320e+02 1.875011394680697896e-04 3.826656069225332704e-06 4.174131873268854451e-04 7.817227689669507644e-05 1.388691621232638518e+01 1.175258776692053573e+02 1.666126571113537409e+02 3.906347382685249841e+02 6.886608761746697382e+02
2.648969237716195266e+02 1.306503350470074841e-02 1.161795273862987164e-02 3.858639301072079673e-03 5.573212363695831395e-02 2.894267279427624184e-01 4.034960286955815295e-02 4.261239853260602450e-02 1.510755419794768406e-01 6.077380205057647533e-01
4.506570248350201950e+02 9.974138840472862588e-01 8.670074277403802673e-04 3.178603880717677244e-02 1.568984576990586077e-01 1.057370073080302411e-02 2.011549818840560264e-02 1.846423103468391447e-01 1.683070003606324805e-01 1.570603897607942390e+00
7.666822027411357112e+02 6.472131844680709708e-05 4.083291344638573357e-06 2.645758777299323222e-04 1.824239370797605403e-05 2.153550199912940570e+03 2.809783029426037047e+03 1.266786603529959393e+04 1.688207465531042544e+04 3.451327427157187776e+04
