# E_GeV gas iso ps ics nfw fb_pos fb_neg loopI total
1.304321375275280914e+00 1.902303481548619927e-03 1.000026010316795402e-04 1.099339700516464103e-04 6.958262402487670360e-04 7.093426757621630911e-04 1.397544972903162026e-04 7.056512268701584665e-05 1.492648963897570170e-04 3.876993485009964501e-03
2.218982274181229730e+00 1.516479587941105571e-03 1.000005059262619217e-04 1.224216165989437774e-04 5.537612783298767778e-04 6.593670945652894142e-04 1.243658471463182972e-04 6.712814260064736672e-05 1.097634634669992479e-04 3.253287536575442604e-03
3.775053073500424183e+00 1.180118534148124352e-03 1.000031685952936482e-04 1.445856512213804224e-04 4.572931857885649261e-04 5.672234947494055610e-04 1.188759054718738337e-04 5.949028943507064527e-05 8.482969680733470279e-05 2.712419926217047705e-03
6.422325374407718890e+00 8.456308509841819858e-04 1.000211203472660984e-04 1.500648382885060397e-04 3.447576966571126462e-04 4.686378209464793000e-04 1.120927573489431857e-04 6.117059961114078076e-05 6.250224303226832015e-05 2.144877927215897706e-03
1.092600878978529444e+01 6.271257802403230582e-04 1.000386103805914141e-04 1.585123810672651480e-04 2.186880916875665059e-04 4.251278548595634785e-04 1.001574005660173098e-04 5.417344142164313921e-05 3.705958202471129598e-05 1.720883142247680957e-03
1.858791903965422065e+01 4.332635493034607652e-04 1.001106569115248668e-04 1.450329817901908837e-04 1.392493919046351898e-04 4.018705008472464612e-04 8.505818486318035760e-05 4.321221047717835551e-05 1.599714949870773107e-05 1.363794625596124587e-03
3.162277655582570901e+01 3.170209129117948759e-04 1.000183397210410155e-04 1.272496089998565534e-04 9.457159456497413142e-05 3.547404965808125302e-04 6.923224642045758368e-05 4.303659597116534131e-05 2.349802058914550776e-06 1.108219597229016806e-03
5.379838458025832182e+01 2.547894728488022168e-04 1.000796892518447960e-04 9.795743835791462120e-05 1.224589434069910557e-05 2.412234408112520474e-04 6.526353325086118055e-05 3.528471874619319417e-05 4.851210902123591826e-07 8.073293086977791121e-04
9.152473176089060303e+01 1.655064625935270394e-04 1.000489168556757197e-04 7.029750452784172706e-05 7.176862419486310412e-06 1.519859311411363525e-04 4.765720436061592145e-05 2.920983463947803599e-05 6.618647178963199782e-07 5.725445812556572388e-04
1.557068395621998320e+02 6.652907704252220944e-05 1.000931956275913614e-04 5.092878117452086668e-05 7.929654596540742988e-06 1.275955765400753523e-04 3.483781893102883698e-05 2.371987573219917742e-05 4.516507743447494005e-09 4.116384961522220952e-04
2.648969237716195266e+02 1.917012148055026018e-05 1.001178628233445275e-04 2.756965195657473162e-05 5.890443588152117485e-06 1.411417150693215002e-04 3.538564287165492910e-06 2.192770235237571691e-05 8.887485894763258323e-08 3.194449364164319714e-04
4.506570248350201950e+02 2.702472291900437706e-05 1.000974531886857029e-04 1.038920206925107515e-05 4.228442052999892440e-06 6.000723434696452597e-05 3.072692968677348810e-08 2.318871878166725936e-06 3.829229901403259736e-07 2.044795763748994463e-04
7.666822027411357112e+02 9.207306454184924907e-06 1.004817291720824579e-04 8.952523436689613714e-06 4.209520293230875686e-06 4.219185951156133318e-05 1.544455022512086893e-07 1.092224584978099656e-05 3.855011023428085587e-07 1.765051313221241869e-04
