# E_GeV gas iso ps nfw ics fb_flat loopI total
1.304321375275280914e+00 5.827761249590886032e-03 5.077533429521288782e-09 1.169927464279002906e-03 2.314556986554988638e-04 1.065683623062694966e-03 8.898175632284393329e-05 2.508647265376213000e-04 8.634679595981978317e-03
2.218982274181229730e+00 4.849866149120920893e-03 3.717327012334316243e-08 7.753729631454357773e-04 2.550606241410901978e-04 9.902805239329465735e-04 8.932663621944289718e-05 1.691286285771523485e-04 7.129072698407110109e-03
3.775053073500424183e+00 3.772134599928326538e-03 2.550012527822419106e-08 5.304725033005748677e-04 2.087731663516498640e-04 9.813759966645133320e-04 1.040893795186409595e-04 1.713701918712648691e-04 5.768241337760248062e-03
6.422325374407718890e+00 2.712095022323400811e-03 2.548381743453270587e-08 3.679994403002128322e-04 1.218133019075363319e-04 8.263532644646202820e-04 1.219404352061615967e-04 1.995570183580971338e-04 4.349783966377461855e-03
1.092600878978529444e+01 1.928873088799733411e-03 3.192740099381189631e-07 3.005715230881111488e-04 6.767700141567222221e-05 6.422783792579733666e-04 1.285172661928343253e-04 1.824183422951426161e-04 3.250654875059404234e-03
1.858791903965422065e+01 1.359955233430986711e-03 8.224978646931154185e-06 2.354605897808661249e-04 5.705266152559415908e-05 4.755031493334181398e-04 1.145340889413039862e-04 1.525431726844313359e-04 2.403273874343531645e-03
3.162277655582570901e+01 9.799551873625144110e-04 6.240123819289061943e-07 1.918272046453001819e-04 5.091921444284721248e-05 4.394531268612743833e-04 1.060063130279877277e-04 9.175834410440078743e-05 1.860543402826252916e-03
5.379838458025832182e+01 8.874125286084228424e-04 3.190754302146955776e-05 1.349507000824154066e-04 5.096771998112737881e-05 1.596579793139874404e-04 8.687123968443277169e-05 5.895858728489286333e-05 1.410726297976748478e-03
9.152473176089060303e+01 7.218877424025917089e-04 8.432956458810764907e-07 9.783147227394730445e-05 4.162835291658188551e-05 1.126716344676311762e-04 6.447235082974860922e-05 3.995219856649179430e-05 1.079287047102873640e-03
1.557068395621998320e+02 4.812938448357646478e-04 5.128975494048390760e-07 6.648123508640135738e-05 3.852667128280032560e-05 1.541608038365231974e-04 4.414704744409408662e-05 5.011320997411727072e-06 7.901338210324002076e-04
2.648969237716195266e+02 4.337272420762630231e-04 1.313445755319547473e-06 3.828009640184671660e-05 4.071315452084685706e-05 2.179646814809787603e-05 1.957495711400240203e-05 1.029731164137858630e-05 5.657026756577551805e-04
4.506570248350201950e+02 3.165730568023572577e-04 2.171725986811736849e-07 1.361884844740575931e-05 4.055859516804820059e-05 5.757251663354799842e-05 3.741518434372879407e-06 8.318144977174868707e-07 4.331135225821305078e-04
7.666822027411357112e+02 2.473944636675450698e-04 6.181170443960545565e-07 5.230277067950329100e-06 1.724451837587189345e-05 6.155979004656278247e-05 8.846495328715404786e-06 2.913569191636262443e-06 3.438072307226776813e-04
