# k gas iso ps nfw ics fb_flat loopI
0.000000000000000000e+00 2.514780759811401367e-01 2.803204581141471863e-03 1.822205185890197754e+00 8.608068525791168213e-02 8.772462606430053711e-01 8.492453694343566895e-01 1.963271142879641218e-10
1.000000000000000000e+00 4.133756756782531738e-01 2.054992876946926117e-02 1.564086675643920898e+00 9.485959261655807495e-02 1.347016334533691406e+00 8.525369167327880859e-01 4.673758081941148390e-11
2.000000000000000000e+00 7.362493276596069336e-01 1.176116615533828735e-02 1.312589645385742188e+00 7.764482498168945312e-02 1.939181089401245117e+00 9.934331178665161133e-01 1.571938759714619493e-11
3.000000000000000000e+00 1.146873354911804199e+00 9.134838357567787170e-03 1.063210248947143555e+00 4.530358314514160156e-02 2.151417732238769531e+00 1.163804292678833008e+00 6.135826655789822226e-12
4.000000000000000000e+00 1.466032981872558594e+00 9.475295990705490112e-02 9.752462506294250488e-01 2.516975253820419312e-02 2.144411325454711914e+00 1.226573824882507324e+00 1.856422730383416875e-12
5.000000000000000000e+00 1.646931886672973633e+00 2.327645301818847656e+00 8.317090272903442383e-01 2.121845446527004242e-02 2.062971115112304688e+00 1.093117833137512207e+00 5.045005889827217094e-13
6.000000000000000000e+00 1.790301799774169922e+00 1.700512021780014038e-01 7.153050899505615234e-01 1.893736422061920166e-02 2.508659839630126953e+00 1.011728405952453613e+00 1.030571705447694275e-13
7.000000000000000000e+00 2.426548719406127930e+00 6.849157810211181641e+00 5.155852437019348145e-01 1.895540393888950348e-02 1.223703026771545410e+00 8.291025161743164062e-01 2.111153959813330105e-14
8.000000000000000000e+00 2.985946655273437500e+00 1.746426075696945190e-01 3.721818923950195312e-01 1.548200007528066635e-02 1.174015402793884277e+00 6.153266429901123047e-01 4.900236552056112264e-15
9.000000000000000000e+00 3.020014047622680664e+00 1.269789785146713257e-01 2.451896369457244873e-01 1.432845368981361389e-02 2.223364591598510742e+00 4.213411509990692139e-01 2.139202156195477817e-16
1.000000000000000000e+01 4.102025508880615234e+00 3.658579885959625244e-01 1.335256397724151611e-01 1.514162868261337280e-02 4.312130808830261230e-01 1.868241578340530396e-01 1.538461094819596145e-16
1.100000000000000000e+01 4.465143203735351562e+00 4.481401666998863220e-02 4.392633959650993347e-02 1.508414652198553085e-02 1.567262887954711914e+00 3.570919856429100037e-02 4.248051072841735606e-18
1.200000000000000000e+01 5.148978233337402344e+00 1.018357351422309875e-01 1.528406515717506409e-02 6.413408555090427399e-03 2.262924432754516602e+00 8.443129807710647583e-02 9.019942521970473502e-18
