# k gas iso ps ics fb_neg fb_pos loopI
0.000000000000000000e+00 2.260469496250152588e-01 2.435925602912902832e-01 9.717052578926086426e-01 1.080859899520874023e+00 1.419511556625366211e+00 2.566331863403320312e+00 1.175309129758027543e-10
1.000000000000000000e+00 3.744195401668548584e-01 3.701969087123870850e-01 9.703684449195861816e-01 1.533731102943420410e+00 1.023754119873046875e+00 2.230276346206665039e+00 2.568195267943328012e-11
2.000000000000000000e+00 7.029821276664733887e-01 1.107253456115722656e+01 1.010004043579101562e+00 1.902183532714843750e+00 8.497139811515808105e-01 2.022977828979492188e+00 5.169373015108673537e-12
3.000000000000000000e+00 1.219157695770263672e+00 3.245813369750976562e+01 9.771407842636108398e-01 1.670081853866577148e+00 6.331732273101806641e-01 1.765135049819946289e+00 4.857150835964281271e-13
4.000000000000000000e+00 1.760319709777832031e+00 2.896535873413085938e+01 9.564232230186462402e-01 1.263317465782165527e+00 5.025078654289245605e-01 1.551347136497497559e+00 4.174575728400572745e-15
5.000000000000000000e+00 2.046486139297485352e+00 2.076190948486328125e+01 8.134642243385314941e-01 1.058393359184265137e+00 5.528826713562011719e-01 1.399623155593872070e+00 1.074982099740633167e-15
6.000000000000000000e+00 2.433460712432861328e+00 5.056913569569587708e-02 6.950307488441467285e-01 1.323372006416320801e+00 5.035217404365539551e-01 1.247656226158142090e+00 2.926195671069106987e-17
7.000000000000000000e+00 3.010279893875122070e+00 6.283360004425048828e+00 5.200859904289245605e-01 3.434907272458076477e-02 4.279951155185699463e-01 1.018681168556213379e+00 8.742245370662201849e-17
8.000000000000000000e+00 3.328701257705688477e+00 4.327560961246490479e-02 3.646276593208312988e-01 9.641876071691513062e-02 2.810991108417510986e-01 8.242585062980651855e-01 1.752060453696979508e-16
9.000000000000000000e+00 2.951206922531127930e+00 2.585368230938911438e-02 2.601434290409088135e-01 9.449137449264526367e-01 2.318216562271118164e-01 4.812134504318237305e-01 6.305679131685701585e-18
1.000000000000000000e+01 3.784450292587280273e+00 1.668751239776611328e-01 1.226745769381523132e-01 1.447463482618331909e-01 1.640271693468093872e-01 2.853053212165832520e-01 7.206442991495667520e-18
1.100000000000000000e+01 3.969386339187622070e+00 5.711408704519271851e-02 5.672813206911087036e-02 6.900785565376281738e-01 1.217630207538604736e-01 4.904912039637565613e-02 9.937905974106648683e-18
1.200000000000000000e+01 3.995850563049316406e+00 2.998805046081542969e-01 5.647180136293172836e-03 2.231370210647583008e+00 7.292941957712173462e-02 1.421443670988082886e-01 3.006320055814961451e-18
