# E_GeV gas iso ps ics fb_neg fb_pos loopI total
1.304321375275280914e+00 2.035670798109321961e-03 4.412269359145157843e-07 2.584591889858088814e-04 8.594740687265961824e-04 1.747713143804679992e-04 3.104911754865184704e-04 9.389691490175043924e-05 3.733204687526378227e-03
2.218982274181229730e+00 1.696133806058869016e-03 6.696582669730223605e-07 2.336164050796174670e-04 6.936539270516931368e-04 1.260453656184675256e-04 2.698330384823824585e-04 5.940654442601071616e-05 3.079358744984013636e-03
3.775053073500424183e+00 1.353027563015250659e-03 2.400705973602490248e-05 2.254120773403129219e-04 5.635367575815402588e-04 1.046174148091372799e-04 2.447527434334106889e-04 3.462162310042544961e-05 2.549975239016102381e-03
6.422325374407718890e+00 1.042878292923401151e-03 9.054973071488451838e-05 2.069990575569473823e-04 3.630046252411125692e-04 7.795675677069405381e-05 2.135572816712993374e-04 9.442464071587292431e-06 2.004388208949926548e-03
1.092600878978529444e+01 8.193953296806088735e-04 9.759997198678141124e-05 1.967489463019549351e-04 2.070764629093428775e-04 6.186914063998580912e-05 1.876918580961517815e-04 2.990915094810449742e-07 1.570680801124307597e-03
1.858791903965422065e+01 5.927405689594034827e-04 7.336438332936808253e-05 1.662163348197443402e-04 1.297506821236424108e-04 6.807132406645462609e-05 1.693353245239493841e-04 3.425857248406082017e-07 1.199821203547402678e-03
3.162277655582570901e+01 4.653818610317843460e-04 1.855662671748074547e-07 1.442161863472494966e-04 1.193368617957546153e-04 6.199396968685209658e-05 1.509493973773162409e-04 1.953006735738456655e-08 9.420833725734889053e-04
5.379838458025832182e+01 3.836922552218557871e-04 2.927171269976704937e-05 1.119455155449745898e-04 2.225863459498324149e-06 5.269507565637332670e-05 1.232465364397586404e-04 2.457220163720742702e-07 7.033226810385997951e-04
9.152473176089060303e+01 2.799871495704406559e-04 2.089646602748084871e-07 8.307534536161001058e-05 4.426521747120348240e-06 3.460913075677435894e-05 9.972404437982213302e-05 8.741009436410840378e-07 5.029052574196836564e-04
1.557068395621998320e+02 1.634172260261552686e-04 1.044290201071411128e-07 6.393287143222265746e-05 3.024423632659500581e-05 2.854205403976241319e-05 5.822026840217852924e-05 7.442634236598560281e-08 3.445355115893869902e-04
2.648969237716195266e+02 1.388960032435766648e-04 5.990887996893784477e-07 3.309193591017452684e-05 3.253135167652849390e-06 2.019514659649394221e-05 3.451805506168634089e-05 3.666260922129734707e-07 2.309199908714867791e-04
4.506570248350201950e+02 9.761295875369087240e-05 2.767798029810921013e-07 1.706624393655568358e-05 1.101069172657915469e-05 1.499155331500965948e-05 5.934275011331238341e-06 1.867003672662809272e-06 1.487595062188104306e-04
7.666822027411357112e+02 6.655561689331997133e-05 1.820198488489334932e-06 1.922301867299094002e-06 2.588253853287391138e-05 8.979124163117329963e-06 1.719753094773136617e-05 8.890004582153541565e-07 1.232463113510462959e-04
