# E_GeV gas iso ps ics nfw fb_pos fb_neg loopI total
1.304321375275280914e+00 1.902085015565354968e-03 1.244922422903754799e-04 2.434312916601337148e-04 8.053992758947012276e-04 1.716280928633693149e-04 2.467754404461480538e-04 1.333270010103500399e-04 1.086154437970696801e-04 3.735753803527502859e-03
2.218982274181229730e+00 1.550211001803040696e-03 1.359219528024512512e-04 2.238630978435588652e-04 6.313627819830293321e-04 1.851607354876099387e-04 2.008030003172229139e-04 8.116692530745568592e-05 7.454659856018056063e-05 3.083036094104549610e-03
3.775053073500424183e+00 1.210550541550421601e-03 1.967654072754324317e-04 2.136578042070268093e-04 4.846203183844458202e-04 1.927630415268768375e-04 1.648299761442632838e-04 4.384875482277476410e-05 4.733559480022358048e-05 2.554371438711464885e-03
6.422325374407718890e+00 8.921569580102173399e-04 2.552974338940607957e-04 1.962734729722801386e-04 2.931253004012801685e-04 1.909799454272173645e-04 1.351381240273325456e-04 2.083453951295793363e-05 2.382699471967454136e-05 2.007632768965019777e-03
1.092600878978529444e+01 6.689219764391857474e-04 2.766415706235755682e-04 1.911755458712483208e-04 1.456700620698814946e-04 1.951581007118782264e-04 1.016528279386104470e-04 -6.009523996279049954e-06 9.778117877886548702e-07 1.574188371445889908e-03
1.858791903965422065e+01 4.503029023651753380e-04 2.282832938941757020e-04 1.620894697024514389e-04 7.682377909678619649e-05 1.843893438198777326e-04 9.046444793733578974e-05 8.819219518429695639e-06 1.764979685564621934e-06 1.202937436019795633e-03
3.162277655582570901e+01 3.251111877229973012e-04 1.174036066353914299e-04 1.437224046170130891e-04 9.391763763720637045e-05 1.640539181423486580e-04 8.573543234896900905e-05 1.736909340983826402e-05 7.382102362475223500e-07 9.480514907500118020e-04
5.379838458025832182e+01 2.543645284033424904e-04 1.366069904959094127e-04 1.078384793746270501e-04 6.433769912135158550e-07 1.388441415389246516e-04 6.038798206397721430e-05 6.384697734985436095e-06 1.143791858820508816e-06 7.062139884618003896e-04
9.152473176089060303e+01 1.947893725057800007e-04 3.165365619154493173e-05 8.360323741224647053e-05 1.590986918664156875e-05 9.231786731287623953e-05 6.808716144224195388e-05 1.629863667123069518e-05 2.299143645305738203e-06 5.049589443678675557e-04
1.557068395621998320e+02 8.510449264955887371e-05 8.697846533608043890e-05 6.198785122220451375e-05 1.199230096322989802e-05 9.537088537587556382e-05 1.005861575806965270e-05 -6.195987376887206450e-06 4.488772767125970010e-06 3.497853966952575613e-04
2.648969237716195266e+02 8.145527215800149677e-05 8.231006348899854978e-06 3.602974785111238688e-05 9.184322303962929506e-06 5.481124138474463157e-05 1.989937844872076677e-05 1.933307950747956879e-05 4.590153624124764057e-07 2.294030633653340698e-04
4.506570248350201950e+02 6.346705335032480286e-05 7.760006454622554118e-06 1.620465864981041176e-05 1.126791511751361265e-05 2.690238730080505506e-05 8.168913147542738463e-07 2.038848851129571111e-05 1.059953350877629247e-06 1.478673540500040622e-04
7.666822027411357112e+02 3.542746878745593539e-06 2.422203390314942612e-06 3.379588484649700902e-06 5.589307736459684045e-05 5.147337049517070956e-05 6.240652355663016191e-06 8.023724821967221923e-07 1.099721743006111157e-06 1.248537331943436906e-04
