# k gas iso ps ics nfw fb_pos fb_neg loopI
0.000000000000000000e+00 2.033991813659667969e-01 6.973046875000000000e+01 8.830850720405578613e-01 9.817865490913391113e-01 6.459555625915527344e-01 1.660691022872924805e+00 7.902514338493347168e-01 1.511268657959641271e-10
1.000000000000000000e+00 3.290563225746154785e-01 8.229954528808593750e+01 8.927000164985656738e-01 1.322148680686950684e+00 6.692019104957580566e-01 1.285690903663635254e+00 3.372371196746826172e-01 3.455842215041929344e-11
2.000000000000000000e+00 5.999929308891296387e-01 9.350432586669921875e+01 9.336977601051330566e-01 1.538257002830505371e+00 6.735410094261169434e-01 1.014914631843566895e+00 5.379191040992736816e-02 7.358402766505321019e-12
3.000000000000000000e+00 9.788406491279602051e-01 8.843952178955078125e+01 9.006353616714477539e-01 1.262156128883361816e+00 6.545562148094177246e-01 8.046317100524902344e-01 -7.509724795818328857e-02 1.357304414058312959e-12
4.000000000000000000e+00 1.341113209724426270e+00 8.263591003417968750e+01 8.864077925682067871e-01 7.521129846572875977e-01 6.405010819435119629e-01 5.358962416648864746e-01 -3.151987791061401367e-01 1.425989262889210737e-14
5.000000000000000000e+00 1.437297701835632324e+00 6.316099166870117188e+01 7.727404832839965820e-01 4.353566765785217285e-01 5.840148329734802246e-01 5.134408473968505859e-01 -1.474879086017608643e-01 9.923097517947025302e-17
6.000000000000000000e+00 1.538753867149353027e+00 2.132016944885253906e+01 6.848350167274475098e-01 1.018365502357482910e+00 5.105625987052917480e-01 5.689747929573059082e-01 3.926453739404678345e-02 1.454118930605994512e-16
7.000000000000000000e+00 1.753011703491210938e+00 2.436599159240722656e+01 4.756216406822204590e-01 1.571857370436191559e-02 4.332028329372406006e-01 3.530344665050506592e-01 -6.964790076017379761e-02 4.549376240266914703e-16
8.000000000000000000e+00 2.178359508514404297e+00 4.073363304138183594e+00 3.530001938343048096e-01 1.645164638757705688e-01 2.777257263660430908e-01 4.496217370033264160e-01 5.087921395897865295e-02 4.722320714284888572e-16
9.000000000000000000e+00 1.211370348930358887e+00 1.323003005981445312e+01 2.346630543470382690e-01 8.278251886367797852e-01 2.719618976116180420e-01 7.988044992089271545e-03 -6.881133466958999634e-02 2.088539742500381276e-16
1.000000000000000000e+01 2.034838199615478516e+00 6.831808686256408691e-01 1.143079623579978943e-01 1.432376056909561157e-01 1.692558974027633667e-01 1.268856525421142578e-01 1.193144991993904114e-01 2.007077903897750540e-17
1.100000000000000000e+01 2.752233266830444336e+00 1.671830266714096069e-01 4.784955829381942749e-02 6.129999756813049316e-01 7.284845411777496338e-02 9.055221453309059143e-03 1.190524026751518250e-01 7.882454072357944866e-18
1.200000000000000000e+01 8.968364596366882324e-01 1.495458006858825684e+00 8.431890048086643219e-03 3.317444562911987305e+00 1.224806606769561768e-01 4.125320410821586847e-04 -5.170617252588272095e-02 6.267752435311050705e-18
