# k Ectr_GeV dlnl_best_p2.5 dlnl_lo_p2.5 dlnl_hi_p2.5 dlnl_best_p2 dlnl_lo_p2 dlnl_hi_p2 dlnl_best_p1 dlnl_lo_p1 dlnl_hi_p1
00 1.30432 -125.18832 0 21274.621 -49102.937 -46766.25 22085.587 7664.7501 7803.2219 20883.04
01 2.21898 -3644.4482 -3603.532 2634.8513 -20210.718 -18911.851 3913.013 -13000.948 -9806.0422 1039.0832
02 3.77505 1169.6019 1349.5295 1349.5295 -4710.6136 -4367.6398 1639.5124 -210.21699 -178.63422 15.73216
03 6.42233 -543.08446 -447.16603 121.16251 -798.00592 -794.57744 98.863719 469.72044 472.47927 1105.3198
04 10.926 421.01674 nan nan 185.25938 nan nan 594.52552 nan nan
05 18.5879 -127.53758 -127.38248 3.2700162 -221.95914 -189.26748 0 314.02446 nan nan
06 31.6228 -123.1554 -118.80214 0.52736296 -133.14614 -120.37979 0 194.44356 nan nan
07 53.7984 -24.419936 -25.20723 2.4516269 -55.448348 -56.399074 1.1363364 40.697903 nan nan
08 91.5247 -20.697344 -21.067566 6.7399436 -28.471588 -24.340878 6.2373426 33.901894 nan nan
09 155.707 -7.5597826 -9.2072067 0.71578354 -7.8736808 -9.3654267 1.0554256 2.1947607 0.37299737 1.5928198
10 264.897 4.7383706 2.847629 8.7168337 3.4101295 1.5004414 10.0086 0.36742552 0 0
11 450.657 0.065373499 0 0 0.060212966 0 0 -2.1808649 -3.7977352 0.17805906
12 766.682 0.3090084 -1.2381918 0.78734477 0.86331071 -0.68001419 0.84000129 3.4015877 nan nan
